book_num	chapter	verse	kjv_pos	kjv_word	strongs
1	1	1	1	In	H07225
1	1	1	2	the	H07225
1	1	1	3	beginning	H07225
1	1	1	4	God	H0430
1	1	1	5	created	H0853,H01254
1	1	1	6	the	H08064
1	1	1	7	heaven	H08064
1	1	1	8	and	H0853
1	1	1	9	the	H0776
1	1	1	10	earth	H0776
1	1	2	1	And	H0776
1	1	2	2	the	H0776
1	1	2	3	earth	H0776
1	1	2	4	was	H01961
1	1	2	5	without	H08414
1	1	2	6	form	H08414
1	1	2	7	and	H0922
1	1	2	8	void	H0922
1	1	2	9	and	H02822
1	1	2	10	darkness	H02822
1	1	2	11	was	
1	1	2	12	upon	H06440
1	1	2	13	the	H06440
1	1	2	14	face	H06440
1	1	2	15	of	H08415
1	1	2	16	the	H08415
1	1	2	17	deep	H08415
1	1	2	18	And	H07307
1	1	2	19	the	H07307
1	1	2	20	Spirit	H07307
1	1	2	21	of	H0430
1	1	2	22	God	H0430
1	1	2	23	moved	H07363
1	1	2	24	upon	H05921
1	1	2	25	the	H06440
1	1	2	26	face	H06440
1	1	2	27	of	H04325
1	1	2	28	the	H04325
1	1	2	29	waters	H04325
1	1	3	1	And	H0430
1	1	3	2	God	H0430
1	1	3	3	said	H0559
1	1	3	4	Let	H01961
1	1	3	5	there	H01961
1	1	3	6	be	H01961
1	1	3	7	light	H0216
1	1	3	8	and	H0216
1	1	3	9	there	H0216
1	1	3	10	was	H0216
1	1	3	11	light	H0216
1	1	4	1	And	H0430
1	1	4	2	God	H0430
1	1	4	3	saw	H0853,H07200
1	1	4	4	the	H0216
1	1	4	5	light	H0216
1	1	4	6	that	H03588
1	1	4	7	it	
1	1	4	8	was	
1	1	4	9	good	H02896
1	1	4	10	and	H0430
1	1	4	11	God	H0430
1	1	4	12	divided	H0996,H0914
1	1	4	13	the	H0216
1	1	4	14	light	H0216
1	1	4	15	from	H0996
1	1	4	16	the	H02822
1	1	4	17	darkness	H02822
1	1	5	1	And	H0430
1	1	5	2	God	H0430
1	1	5	3	called	H07121
1	1	5	4	the	H0216
1	1	5	5	light	H0216
1	1	5	6	Day	H03117
1	1	5	7	and	H02822
1	1	5	8	the	H02822
1	1	5	9	darkness	H02822
1	1	5	10	he	H07121
1	1	5	11	called	H07121
1	1	5	12	Night	H03915
1	1	5	13	And	H06153
1	1	5	14	the	H06153
1	1	5	15	evening	H06153
1	1	5	16	and	H01242
1	1	5	17	the	H01242
1	1	5	18	morning	H01242
1	1	5	19	were	H0259
1	1	5	20	the	H0259
1	1	5	21	first	H0259
1	1	5	22	day	H03117
1	1	6	1	And	H0430
1	1	6	2	God	H0430
1	1	6	3	said	H0559
1	1	6	4	Let	H07549
1	1	6	5	there	H07549
1	1	6	6	be	H07549
1	1	6	7	a	H07549
1	1	6	8	firmament	H07549
1	1	6	9	in	H08432
1	1	6	10	the	H08432
1	1	6	11	midst	H08432
1	1	6	12	of	H04325
1	1	6	13	the	H04325
1	1	6	14	waters	H04325
1	1	6	15	and	H0914
1	1	6	16	let	H0914
1	1	6	17	it	H0914
1	1	6	18	divide	H0914
1	1	6	19	the	H04325
1	1	6	20	waters	H04325
1	1	6	21	from	H04325
1	1	6	22	the	H04325
1	1	6	23	waters	H04325
1	1	7	1	And	H0430
1	1	7	2	God	H0430
1	1	7	3	made	H06213
1	1	7	4	the	H07549
1	1	7	5	firmament	H07549
1	1	7	6	and	H0914
1	1	7	7	divided	H0914
1	1	7	8	the	H04325
1	1	7	9	waters	H04325
1	1	7	10	which	H0834
1	1	7	11	were	
1	1	7	12	under	H08478
1	1	7	13	the	H07549
1	1	7	14	firmament	H07549
1	1	7	15	from	H04325
1	1	7	16	the	H04325
1	1	7	17	waters	H04325
1	1	7	18	which	H0834
1	1	7	19	were	
1	1	7	20	above	H05921
1	1	7	21	the	H07549
1	1	7	22	firmament	H07549
1	1	7	23	and	H03651
1	1	7	24	it	H03651
1	1	7	25	was	H03651
1	1	7	26	so	H03651
1	1	8	1	And	H0430
1	1	8	2	God	H0430
1	1	8	3	called	H07121
1	1	8	4	the	H07549
1	1	8	5	firmament	H07549
1	1	8	6	Heaven	H08064
1	1	8	7	And	H06153
1	1	8	8	the	H06153
1	1	8	9	evening	H06153
1	1	8	10	and	H01242
1	1	8	11	the	H01242
1	1	8	12	morning	H01242
1	1	8	13	were	H08145
1	1	8	14	the	H08145
1	1	8	15	second	H08145
1	1	8	16	day	H03117
1	1	9	1	And	H0430
1	1	9	2	God	H0430
1	1	9	3	said	H0559
1	1	9	4	Let	H04325
1	1	9	5	the	H04325
1	1	9	6	waters	H04325
1	1	9	7	under	H08064
1	1	9	8	the	H08064
1	1	9	9	heaven	H08064
1	1	9	10	be	H06960
1	1	9	11	gathered	H06960
1	1	9	12	together	H06960
1	1	9	13	unto	H0413
1	1	9	14	one	H0259
1	1	9	15	place	H04725
1	1	9	16	and	H03004
1	1	9	17	let	H03004
1	1	9	18	the	H03004
1	1	9	19	dry	H03004
1	1	9	20	land	
1	1	9	21	appear	H07200
1	1	9	22	and	
1	1	9	23	it	
1	1	9	24	was	
1	1	9	25	so	
1	1	10	1	And	H0430
1	1	10	2	God	H0430
1	1	10	3	called	H07121
1	1	10	4	the	H03004
1	1	10	5	dry	H03004
1	1	10	6	land	
1	1	10	7	Earth	H0776
1	1	10	8	and	H04723
1	1	10	9	the	H04723
1	1	10	10	gathering	H04723
1	1	10	11	together	H04723
1	1	10	12	of	H04325
1	1	10	13	the	H04325
1	1	10	14	waters	H04325
1	1	10	15	called	H07121
1	1	10	16	he	H03220
1	1	10	17	Seas	H03220
1	1	10	18	and	H0430
1	1	10	19	God	H0430
1	1	10	20	saw	H07200
1	1	10	21	that	
1	1	10	22	it	
1	1	10	23	was	
1	1	10	24	good	H02896
1	1	11	1	And	H0430
1	1	11	2	God	H0430
1	1	11	3	said	H0559
1	1	11	4	Let	H0776
1	1	11	5	the	H0776
1	1	11	6	earth	H0776
1	1	11	7	bring	H01876
1	1	11	8	forth	H01876
1	1	11	9	grass	H01877
1	1	11	10	the	H06212
1	1	11	11	herb	H06212
1	1	11	12	yielding	H02232
1	1	11	13	seed	H02233
1	1	11	14	and	
1	1	11	15	the	H06529
1	1	11	16	fruit	H06529
1	1	11	17	tree	H06086
1	1	11	18	yielding	H06213
1	1	11	19	fruit	H06529
1	1	11	20	after	H04327
1	1	11	21	his	H04327
1	1	11	22	kind	H04327
1	1	11	23	whose	H0834
1	1	11	24	seed	H02233
1	1	11	25	is	
1	1	11	26	in	H0776
1	1	11	27	itself	H0776
1	1	11	28	upon	H0776
1	1	11	29	the	H0776
1	1	11	30	earth	H0776
1	1	11	31	and	
1	1	11	32	it	
1	1	11	33	was	
1	1	11	34	so	
1	1	12	1	And	H0776
1	1	12	2	the	H0776
1	1	12	3	earth	H0776
1	1	12	4	brought	H03318
1	1	12	5	forth	H03318
1	1	12	6	grass	H01877
1	1	12	7	and	
1	1	12	8	herb	H06212
1	1	12	9	yielding	H02232
1	1	12	10	seed	H02233
1	1	12	11	after	H04327
1	1	12	12	his	H04327
1	1	12	13	kind	H04327
1	1	12	14	and	H06086
1	1	12	15	the	H06086
1	1	12	16	tree	H06086
1	1	12	17	yielding	H06213
1	1	12	18	fruit	H06529
1	1	12	19	whose	H02233
1	1	12	20	seed	H02233
1	1	12	21	was	
1	1	12	22	in	H04327
1	1	12	23	itself	H04327
1	1	12	24	after	H04327
1	1	12	25	his	H04327
1	1	12	26	kind	H04327
1	1	12	27	and	H0430
1	1	12	28	God	H0430
1	1	12	29	saw	H07200
1	1	12	30	that	
1	1	12	31	it	
1	1	12	32	was	
1	1	12	33	good	H02896
1	1	13	1	And	H06153
1	1	13	2	the	H06153
1	1	13	3	evening	H06153
1	1	13	4	and	H01242
1	1	13	5	the	H01242
1	1	13	6	morning	H01242
1	1	13	7	were	H07992
1	1	13	8	the	H07992
1	1	13	9	third	H07992
1	1	13	10	day	H03117
1	1	14	1	And	H0430
1	1	14	2	God	H0430
1	1	14	3	said	H0559
1	1	14	4	Let	H03974
1	1	14	5	there	H03974
1	1	14	6	be	H03974
1	1	14	7	lights	H03974
1	1	14	8	in	H07549
1	1	14	9	the	H07549
1	1	14	10	firmament	H07549
1	1	14	11	of	H08064
1	1	14	12	the	H08064
1	1	14	13	heaven	H08064
1	1	14	14	to	H0914
1	1	14	15	divide	H0914
1	1	14	16	the	H03117
1	1	14	17	day	H03117
1	1	14	18	from	H03915
1	1	14	19	the	H03915
1	1	14	20	night	H03915
1	1	14	21	and	H0226
1	1	14	22	let	H0226
1	1	14	23	them	H0226
1	1	14	24	be	H0226
1	1	14	25	for	H0226
1	1	14	26	signs	H0226
1	1	14	27	and	H04150
1	1	14	28	for	H04150
1	1	14	29	seasons	H04150
1	1	14	30	and	H03117
1	1	14	31	for	H03117
1	1	14	32	days	H03117
1	1	14	33	and	H08141
1	1	14	34	years	H08141
1	1	15	1	And	H03974
1	1	15	2	let	H03974
1	1	15	3	them	H03974
1	1	15	4	be	H03974
1	1	15	5	for	H03974
1	1	15	6	lights	H03974
1	1	15	7	in	H07549
1	1	15	8	the	H07549
1	1	15	9	firmament	H07549
1	1	15	10	of	H08064
1	1	15	11	the	H08064
1	1	15	12	heaven	H08064
1	1	15	13	to	H0215
1	1	15	14	give	H0215
1	1	15	15	light	H0215
1	1	15	16	upon	H0776
1	1	15	17	the	H0776
1	1	15	18	earth	H0776
1	1	15	19	and	
1	1	15	20	it	
1	1	15	21	was	
1	1	15	22	so	
1	1	16	1	And	H0430
1	1	16	2	God	H0430
1	1	16	3	made	H06213
1	1	16	4	two	H08147
1	1	16	5	great	H01419
1	1	16	6	lights	H03974
1	1	16	7	the	H01419
1	1	16	8	greater	H01419
1	1	16	9	light	H03974
1	1	16	10	to	H04475
1	1	16	11	rule	H04475
1	1	16	12	the	H03117
1	1	16	13	day	H03117
1	1	16	14	and	H06996
1	1	16	15	the	H06996
1	1	16	16	lesser	H06996
1	1	16	17	light	H03974
1	1	16	18	to	H04475
1	1	16	19	rule	H04475
1	1	16	20	the	H03915
1	1	16	21	night	H03915
1	1	16	22	he	
1	1	16	23	made	
1	1	16	24	the	H03556
1	1	16	25	stars	H03556
1	1	16	26	also	
1	1	17	1	And	H0430
1	1	17	2	God	H0430
1	1	17	3	set	H05414
1	1	17	4	them	H07549
1	1	17	5	in	H07549
1	1	17	6	the	H07549
1	1	17	7	firmament	H07549
1	1	17	8	of	H08064
1	1	17	9	the	H08064
1	1	17	10	heaven	H08064
1	1	17	11	to	H0215
1	1	17	12	give	H0215
1	1	17	13	light	H0215
1	1	17	14	upon	H0776
1	1	17	15	the	H0776
1	1	17	16	earth	H0776
1	1	18	1	And	H04910
1	1	18	2	to	H04910
1	1	18	3	rule	H04910
1	1	18	4	over	H03117
1	1	18	5	the	H03117
1	1	18	6	day	H03117
1	1	18	7	and	H03915
1	1	18	8	over	H03915
1	1	18	9	the	H03915
1	1	18	10	night	H03915
1	1	18	11	and	H0914
1	1	18	12	to	H0914
1	1	18	13	divide	H0914
1	1	18	14	the	H0216
1	1	18	15	light	H0216
1	1	18	16	from	H02822
1	1	18	17	the	H02822
1	1	18	18	darkness	H02822
1	1	18	19	and	H0430
1	1	18	20	God	H0430
1	1	18	21	saw	H07200
1	1	18	22	that	
1	1	18	23	it	
1	1	18	24	was	
1	1	18	25	good	H02896
1	1	19	1	And	H06153
1	1	19	2	the	H06153
1	1	19	3	evening	H06153
1	1	19	4	and	H01242
1	1	19	5	the	H01242
1	1	19	6	morning	H01242
1	1	19	7	were	H07243
1	1	19	8	the	H07243
1	1	19	9	fourth	H07243
1	1	19	10	day	H03117
1	1	20	1	And	H0430
1	1	20	2	God	H0430
1	1	20	3	said	H0559
1	1	20	4	Let	H04325
1	1	20	5	the	H04325
1	1	20	6	waters	H04325
1	1	20	7	bring	H08317
1	1	20	8	forth	H08317
1	1	20	9	abundantly	H08317
1	1	20	10	the	H08318
1	1	20	11	moving	H08318
1	1	20	12	creature	H08318
1	1	20	13	that	H05315
1	1	20	14	hath	H05315
1	1	20	15	life	H02416
1	1	20	16	and	H05775
1	1	20	17	fowl	H05775
1	1	20	18	that	
1	1	20	19	may	H05774
1	1	20	20	fly	H05774
1	1	20	21	above	H05921
1	1	20	22	the	H0776
1	1	20	23	earth	H0776
1	1	20	24	in	H06440
1	1	20	25	the	H06440
1	1	20	26	open	H06440
1	1	20	27	firmament	H07549
1	1	20	28	of	H08064
1	1	20	29	heaven	H08064
1	1	21	1	And	H0430
1	1	21	2	God	H0430
1	1	21	3	created	H01254
1	1	21	4	great	H01419
1	1	21	5	whales	H08577
1	1	21	6	and	H02416
1	1	21	7	every	H02416
1	1	21	8	living	H02416
1	1	21	9	creature	H05315
1	1	21	10	that	H07430
1	1	21	11	moveth	H07430
1	1	21	12	which	H04325
1	1	21	13	the	H04325
1	1	21	14	waters	H04325
1	1	21	15	brought	H08317
1	1	21	16	forth	H08317
1	1	21	17	abundantly	H08317
1	1	21	18	after	H04327
1	1	21	19	their	H04327
1	1	21	20	kind	H04327
1	1	21	21	and	H03671
1	1	21	22	every	H03671
1	1	21	23	winged	H03671
1	1	21	24	fowl	H05775
1	1	21	25	after	H04327
1	1	21	26	his	H04327
1	1	21	27	kind	H04327
1	1	21	28	and	H0430
1	1	21	29	God	H0430
1	1	21	30	saw	H07200
1	1	21	31	that	
1	1	21	32	it	
1	1	21	33	was	
1	1	21	34	good	H02896
1	1	22	1	And	H0430
1	1	22	2	God	H0430
1	1	22	3	blessed	H01288
1	1	22	4	them	H0559
1	1	22	5	saying	H0559
1	1	22	6	Be	H06509
1	1	22	7	fruitful	H06509
1	1	22	8	and	H07235
1	1	22	9	multiply	H07235
1	1	22	10	and	H04390
1	1	22	11	fill	H04390
1	1	22	12	the	H04325
1	1	22	13	waters	H04325
1	1	22	14	in	H03220
1	1	22	15	the	H03220
1	1	22	16	seas	H03220
1	1	22	17	and	H05775
1	1	22	18	let	H05775
1	1	22	19	fowl	H05775
1	1	22	20	multiply	H07235
1	1	22	21	in	H0776
1	1	22	22	the	H0776
1	1	22	23	earth	H0776
1	1	23	1	And	H06153
1	1	23	2	the	H06153
1	1	23	3	evening	H06153
1	1	23	4	and	H01242
1	1	23	5	the	H01242
1	1	23	6	morning	H01242
1	1	23	7	were	H02549
1	1	23	8	the	H02549
1	1	23	9	fifth	H02549
1	1	23	10	day	H03117
1	1	24	1	And	H0430
1	1	24	2	God	H0430
1	1	24	3	said	H0559
1	1	24	4	Let	H0776
1	1	24	5	the	H0776
1	1	24	6	earth	H0776
1	1	24	7	bring	H03318
1	1	24	8	forth	H03318
1	1	24	9	the	H02416
1	1	24	10	living	H02416
1	1	24	11	creature	H05315
1	1	24	12	after	H04327
1	1	24	13	his	H04327
1	1	24	14	kind	H04327
1	1	24	15	cattle	H0929
1	1	24	16	and	H07431
1	1	24	17	creeping	H07431
1	1	24	18	thing	H07431
1	1	24	19	and	H02416
1	1	24	20	beast	H02416
1	1	24	21	of	H0776
1	1	24	22	the	H0776
1	1	24	23	earth	H0776
1	1	24	24	after	H04327
1	1	24	25	his	H04327
1	1	24	26	kind	H04327
1	1	24	27	and	
1	1	24	28	it	
1	1	24	29	was	
1	1	24	30	so	
1	1	25	1	And	H0430
1	1	25	2	God	H0430
1	1	25	3	made	H06213
1	1	25	4	the	H02416
1	1	25	5	beast	H02416
1	1	25	6	of	H0776
1	1	25	7	the	H0776
1	1	25	8	earth	H0776
1	1	25	9	after	H04327
1	1	25	10	his	H04327
1	1	25	11	kind	H04327
1	1	25	12	and	H0929
1	1	25	13	cattle	H0929
1	1	25	14	after	H04327
1	1	25	15	their	H04327
1	1	25	16	kind	H04327
1	1	25	17	and	H07431
1	1	25	18	every	H07431
1	1	25	19	thing	H07431
1	1	25	20	that	H07431
1	1	25	21	creepeth	H07431
1	1	25	22	upon	H0127
1	1	25	23	the	H0127
1	1	25	24	earth	H0127
1	1	25	25	after	H04327
1	1	25	26	his	H04327
1	1	25	27	kind	H04327
1	1	25	28	and	H0430
1	1	25	29	God	H0430
1	1	25	30	saw	H07200
1	1	25	31	that	
1	1	25	32	it	
1	1	25	33	was	
1	1	25	34	good	H02896
1	1	26	1	And	H0430
1	1	26	2	God	H0430
1	1	26	3	said	H0559
1	1	26	4	Let	H06213
1	1	26	5	us	H06213
1	1	26	6	make	H06213
1	1	26	7	man	H0120
1	1	26	8	in	H06754
1	1	26	9	our	H06754
1	1	26	10	image	H06754
