strongs	source	gloss
H1	bdb	father; father of individual; father of his people; head of household; ancestor; originator, patron; producer, generator; benevolence; respect, honor; ruler, chief
H1	strongs_he	father, in a literal and immediate, or figurative and remote application
H2	bdb	father
H2	strongs_he	father.
H3	bdb	freshness; fresh green; while in its freshness; green shoots
H3	strongs_he	a green plant
H4	bdb	fruit
H4	strongs_he	fruit.
H5	bdb	אֲבַגְתָא n.pr.m. (Pers. cf. בִּגְתָא) eunuch of Ahasuerus Est 1:10.
H5	strongs_he	Abagtha, a eunuch of Xerxes
H6	bdb	perish; perish, die, perish, be exterminated, perish, be ruined, destroyed, perish, vanish, be lost, strayed; perish, die, perish, be exterminated, perish, be ruined, destroyed; perish, vanish; be lost, strayed; cause to perish, destroy, kill, cause to vanish, blot out, do away with, cause to stray, lose; cause to perish, destroy, kill; cause to vanish, blot out, do away with; cause to stray, lose; destroy, put to death; destroy, put to death
H6	strongs_he	properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)
H7	bdb	perish; they shall perish; destroy; be destroyed
H7	strongs_he	destroy, perish.
H8	bdb	destruction
H8	strongs_he	(concrete) wretched or (abstract) destruction
H9	bdb	a lost thing
H9	strongs_he	concrete, something lost; abstract, destruction, i.e. Hades
H10	bdb	Destruction; Ruin; ’Abaddôn
H10	strongs_he	a perishing
H11	bdb	Destruction; Ruin; ’Abaddôn
H11	strongs_he	abstract, a perishing; concrete, Hades
H12	bdb	destruction
H12	strongs_he	a perishing
H13	bdb	destruction
H13	strongs_he	a perishing
H14	bdb	be willing, consent, command, refuse, be willing; be willing, consent, yield to
H14	strongs_he	to breathe after, i.e. (figuratively) to be acquiescent
H15	bdb	entreat
H15	strongs_he	longing
H16	bdb	reed; papyrus
H16	strongs_he	the papyrus
H17	bdb	Oh!
H17	strongs_he	want
H18	bdb	crib; feeding-trough
H18	strongs_he	a manger or stall
H19	bdb	slaughter
H19	strongs_he	brandishing of a sword
H20	bdb	water-melons
H20	strongs_he	a melon (only plural)
H21	bdb	Yah, u, is, my, father
H21	strongs_he	Abi, Hezekiah's mother
H22	bdb	Ēl is, my, father
H22	strongs_he	Abiel, the name of two Israelites
H23	bdb	my father has gathered
H23	strongs_he	Abiasaph, an Israelite
H24	bdb	fresh, young ears; Abib
H24	strongs_he	green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan
H25	bdb	גִּבְעוֹן n.pr.loc. Levitical city in tribe of Benjamin; cf. also as n.pr.m.
H25	strongs_he	Abi-Gibon, perhaps an Israelite
H26	bdb	my father is joy
H26	strongs_he	Abigail or Abigal, the name of two Israelitesses
H27	bdb	my father is judge
H27	strongs_he	Abidan, an Israelite
H28	bdb	my father took knowledge
H28	strongs_he	Abida, a son of Abraham by Keturah
H29	bdb	Yah, u, is, my, father
H29	strongs_he	Abijah, the name of several Israelite men and two Israelitesses
H30	bdb	he is father
H30	strongs_he	Abihu, a son of Aaron
H31	bdb	my father is majesty
H31	strongs_he	Abihud, the name of two Israelites
H32	bdb	my father is might
H32	strongs_he	Abihail or Abichail, the name of three Israelites and two Israelitesses
H33	bdb	אֲבִי הָעֶזְרִי adj.gent. Abiezrite Ju 6:11, 24 8:52 = אִיעֶזְרִי Nu 26:30.
H33	strongs_he	an Abiezrite or descendant of Abiezer
H34	bdb	in want; needy; poor; needy; poor; needing help
H34	strongs_he	destitute
H35	bdb	caper-berry; the poor soul
H35	strongs_he	provocative of desire; the caper berry (from its stimulative taste)
H36	bdb	my father is goodness
H36	strongs_he	Abitub, an Israelite
H37	bdb	my father is; the; dew
H37	strongs_he	Abital, a wife of King David
H38	bdb	Yah, u, is, my, father
H38	strongs_he	Abijam (or Abijah), a king of Judah
H39	bdb	a father is Ēl
H39	strongs_he	Abimael, a son of Joktan
H40	bdb	Melek, is father
H40	strongs_he	Abimelek, the name of two Philistine kings and of two Israelites
H41	bdb	my father is noble
H41	strongs_he	Abinadab, the name of four Israelites
H42	bdb	my father is delight
H42	strongs_he	Abinoam, an Israelite
H43	bdb	my father has gathered
H43	strongs_he	Ebjasaph, an Israelite
H44	bdb	my father is help
H44	strongs_he	Abiezer, the name of two Israelites
H45	bdb	אֲבִי־עַלְבוֹן n.pr.m. a hero of David
H45	strongs_he	Abialbon, an Israelite
H46	bdb	strong; the Strong
H46	strongs_he	mighty (spoken of God)
H47	bdb	mighty; valiant
H47	strongs_he	angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.
H48	bdb	the, Exalted One is, my, father
H48	strongs_he	Abiram, the name of two Israelites
H49	bdb	my father is a wanderer
H49	strongs_he	Abishag, a concubine of David
H50	bdb	my father is rescue, is opulence
H50	strongs_he	Abishua, the name of two Israelites
H51	bdb	my father is a wall
H51	strongs_he	Abishur, an Israelite
H52	bdb	my father is Jesse
H52	strongs_he	Abishai, an Israelite
H53	bdb	my father is peace
H53	strongs_he	Abshalom, a son of David; also (the fuller form) a later Israelite
H54	bdb	the Great One is father
H54	strongs_he	Ebjathar, an Israelite
H55	bdb	turn; roll, roll up
H55	strongs_he	probably to coil upward
H56	bdb	mourn; mourn, lament; mourn; cause to mourn
H56	strongs_he	to bewail
H57	bdb	mourning; mourner
H57	strongs_he	lamenting
H58	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H58	strongs_he	a meadow
H59	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H59	strongs_he	Abel, the name of two places in Palestine.
H60	bdb	mourning
H60	strongs_he	lamentation
H61	bdb	verily, of a truth; howbeit, but
H61	strongs_he	nay, i.e. truly or yet
H62	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H62	strongs_he	Abel of Beth-maakah, a place in Palestine
H63	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H63	strongs_he	Abel hash-Shittim, a place in Palestine
H64	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H64	strongs_he	Abel-Keramim, a place in Palestine
H65	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H65	strongs_he	Abel-Mecholah, a place in Palestine
H66	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H66	strongs_he	Abel-Majim, a place in Palestine
H67	bdb	meadow; acacia-meadow; vineyard-meadow; dance-meadow; meadow of Egypt
H67	strongs_he	Abel-Mitsrajim, a place in Palestine
H68	bdb	stone; stone; precious stone; stone containing metal, ore; a weight; plummet
H68	strongs_he	a stone
H69	bdb	אֶ֫בֶן n.f. stone
H69	strongs_he	stone.
H70	bdb	wheel, disc; wheel; bearing-stool, midwife’s stool
H70	strongs_he	a pair of stones (only dual); a potter's wheel or a midwife's stool (consisting alike of two horizontal disks with a support between)
H71	bdb	constant
H71	strongs_he	Abanah, a river near Damascus
H72	bdb	stone; stone; precious stone; stone containing metal, ore; a weight; plummet
H72	strongs_he	Eben-ha-Ezer, a place in Palestine
H73	bdb	girdle
H73	strongs_he	a belt
H74	bdb	my father is Nêr; is a lamp
H74	strongs_he	Abner, an Israelite
H75	bdb	feed; fatten
H75	strongs_he	to fodder
H76	bdb	blisters; boils
H76	strongs_he	an inflammatory pustule (as eruption)
H77	bdb	[אֶ֫בֶץ] n.pr.loc. city in Issachar אָ֑בֶץ Jos 19:20.
H77	strongs_he	Ebets, a place in Palestine
H78	bdb	אִבְצָן n.pr.m. judge of Isr.
H78	strongs_he	Ibtsan, an Israelite
H79	bdb	wrestle
H79	strongs_he	to bedust, i.e. grapple
H80	bdb	dust
H80	strongs_he	light particles (as volatile)
H81	bdb	powders
H81	strongs_he	powder.
H82	bdb	fly; move pinions
H82	strongs_he	to soar
H83	bdb	pinions
H83	strongs_he	a pinion
H84	bdb	pinion
H84	strongs_he	feather, wing.
H85	bdb	exalted father; Abram; Abraham
H85	strongs_he	Abraham, the later name of Abram
H86	bdb	אַבְרֵךְ proclaimed before Joseph (mng. dub.)
H86	strongs_he	kneel
H87	bdb	exalted father; Abram; Abraham
H87	strongs_he	Abram, the original name of Abraham
H88	bdb	water-skins
H88	strongs_he	Oboth, a place in the Desert
H89	bdb	fugitive
H89	strongs_he	Age, an Israelite
H90	bdb	violent
H90	strongs_he	Agag, a title of Amalekitish kings
H91	bdb	אֲגָגִי adj.gent. of Haman (= Amalekite? so Jew. trad. & cf. Jos. Ant. xi.6.5)
H91	strongs_he	an Agagite or descendent (subject) of Agag
H92	bdb	band; bands, thongs; bunch; band; vault
H92	strongs_he	a band, bundle, knot, or arch
H93	bdb	nuts
H93	strongs_he	a nut
H94	bdb	hireling; gatherer
H94	strongs_he	Agur, a fanciful name for Solomon
H95	bdb	payment
H95	strongs_he	properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin
H96	bdb	drop
H96	strongs_he	a reservoir
H97	bdb	אֶגְלַ֫יִם n.pr.loc. town in Moab
H97	strongs_he	Eglajim, a place in Moab
H98	bdb	troubled pool; troubled, muddy, pools, marshes; pool, pond; swamp-reed, rush
H98	strongs_he	a marsh; hence a rush (as growing in swamps); hence a stockade of reeds
H99	bdb	sad
H99	strongs_he	figuratively, sad
H100	bdb	rush, bulrush
H100	strongs_he	a rush (as growing there); collectively a rope of rushes
H101	bdb	bowl, basin; basins
H101	strongs_he	a bowl (as pounded out hollow)
