book_num	chapter	verse	word_pos	strongs	morph	pointed	unpointed
1	1	1	1	H7225	HR/Ncfsa	בְּ/רֵאשִׁ֖ית	בראשית
1	1	1	2	H1254	HVqp3ms	בָּרָ֣א	ברא
1	1	1	3	H430	HNcmpa	אֱלֹהִ֑ים	אלהים
1	1	1	4	H853	HTo	אֵ֥ת	את
1	1	1	5	H8064	HTd/Ncmpa	הַ/שָּׁמַ֖יִם	השמים
1	1	1	6	H853	HC/To	וְ/אֵ֥ת	ואת
1	1	1	7	H776	HTd/Ncbsa	הָ/אָֽרֶץ	הארץ
1	1	2	1	H776	HC/Td/Ncbsa	וְ/הָ/אָ֗רֶץ	והארץ
1	1	2	2	H1961	HVqp3fs	הָיְתָ֥ה	היתה
1	1	2	3	H8414	HNcmsa	תֹ֨הוּ֙	תהו
1	1	2	4	H922	HC/Ncmsa	וָ/בֹ֔הוּ	ובהו
1	1	2	5	H2822	HC/Ncmsa	וְ/חֹ֖שֶׁךְ	וחשך
1	1	2	6	H5921	HR	עַל	על
1	1	2	7	H6440	HNcbpc	פְּנֵ֣י	פני
1	1	2	8	H8415	HNcbsa	תְה֑וֹם	תהום
1	1	2	9	H7307	HC/Ncbsc	וְ/ר֣וּחַ	ורוח
1	1	2	10	H430	HNcmpa	אֱלֹהִ֔ים	אלהים
1	1	2	11	H7363	HVprfsa	מְרַחֶ֖פֶת	מרחפת
1	1	2	12	H5921	HR	עַל	על
1	1	2	13	H6440	HNcbpc	פְּנֵ֥י	פני
1	1	2	14	H4325	HTd/Ncmpa	הַ/מָּֽיִם	המים
1	1	3	1	H559	HC/Vqw3ms	וַ/יֹּ֥אמֶר	ויאמר
1	1	3	2	H430	HNcmpa	אֱלֹהִ֖ים	אלהים
1	1	3	3	H1961	HVqj3ms	יְהִ֣י	יהי
1	1	3	4	H216	HNcbsa	א֑וֹר	אור
1	1	3	5	H1961	HC/Vqw3ms	וַֽ/יְהִי	ויהי
1	1	3	6	H216	HNcbsa	אֽוֹר	אור
1	1	4	1	H7200	HC/Vqw3ms	וַ/יַּ֧רְא	וירא
1	1	4	2	H430	HNcmpa	אֱלֹהִ֛ים	אלהים
1	1	4	3	H853	HTo	אֶת	את
1	1	4	4	H216	HTd/Ncbsa	הָ/א֖וֹר	האור
1	1	4	5	H3588	HC	כִּי	כי
1	1	4	6	H2896	HAamsa	ט֑וֹב	טוב
1	1	4	7	H914	HC/Vhw3ms	וַ/יַּבְדֵּ֣ל	ויבדל
1	1	4	8	H430	HNcmpa	אֱלֹהִ֔ים	אלהים
1	1	4	9	H996	HR	בֵּ֥ין	בין
1	1	4	10	H216	HTd/Ncbsa	הָ/א֖וֹר	האור
1	1	4	11	H996	HC/R	וּ/בֵ֥ין	ובין
1	1	4	12	H2822	HTd/Ncmsa	הַ/חֹֽשֶׁךְ	החשך
1	1	5	1	H7121	HC/Vqw3ms	וַ/יִּקְרָ֨א	ויקרא
1	1	5	2	H430	HNcmpa	אֱלֹהִ֤ים	אלהים
1	1	5	3	H216	HRd/Ncbsa	לָ/אוֹר֙	לאור
1	1	5	4	H3117	HNcmsa	י֔וֹם	יום
1	1	5	5	H2822	HC/Rd/Ncmsa	וְ/לַ/חֹ֖שֶׁךְ	ולחשך
1	1	5	6	H7121	HVqp3ms	קָ֣רָא	קרא
1	1	5	7	H3915	HNcmsa	לָ֑יְלָה	לילה
1	1	5	8	H1961	HC/Vqw3ms	וַֽ/יְהִי	ויהי
1	1	5	9	H6153	HNcmsa	עֶ֥רֶב	ערב
1	1	5	10	H1961	HC/Vqw3ms	וַֽ/יְהִי	ויהי
1	1	5	11	H1242	HNcmsa	בֹ֖קֶר	בקר
1	1	5	12	H3117	HNcmsa	י֥וֹם	יום
1	1	5	13	H259	HAcmsa	אֶחָֽד	אחד
1	1	6	1	H559	HC/Vqw3ms	וַ/יֹּ֣אמֶר	ויאמר
1	1	6	2	H430	HNcmpa	אֱלֹהִ֔ים	אלהים
1	1	6	3	H1961	HVqj3ms	יְהִ֥י	יהי
1	1	6	4	H7549	HNcmsa	רָקִ֖יעַ	רקיע
1	1	6	5	H8432	HR/Ncmsc	בְּ/ת֣וֹךְ	בתוך
1	1	6	6	H4325	HTd/Ncmpa	הַ/מָּ֑יִם	המים
1	1	6	7	H1961	HC/Vqi3ms	וִ/יהִ֣י	ויהי
1	1	6	8	H914	HVhrmsa	מַבְדִּ֔יל	מבדיל
1	1	6	9	H996	HR	בֵּ֥ין	בין
1	1	6	10	H4325	HNcmpa	מַ֖יִם	מים
1	1	6	11	H4325	HR/Ncmpa	לָ/מָֽיִם	למים
1	1	7	1	H6213	HC/Vqw3ms	וַ/יַּ֣עַשׂ	ויעש
1	1	7	2	H430	HNcmpa	אֱלֹהִים֮	אלהים
1	1	7	3	H853	HTo	אֶת	את
1	1	7	4	H7549	HTd/Ncmsa	הָ/רָקִיעַ֒	הרקיע
1	1	7	5	H914	HC/Vhw3ms	וַ/יַּבְדֵּ֗ל	ויבדל
1	1	7	6	H996	HR	בֵּ֤ין	בין
1	1	7	7	H4325	HTd/Ncmpa	הַ/מַּ֨יִם֙	המים
1	1	7	8	H834	HTr	אֲשֶׁר֙	אשר
1	1	7	9	H8478	HR/R	מִ/תַּ֣חַת	מתחת
1	1	7	10	H7549	HRd/Ncmsa	לָ/רָקִ֔יעַ	לרקיע
1	1	7	11	H996	HC/R	וּ/בֵ֣ין	ובין
1	1	7	12	H4325	HTd/Ncmpa	הַ/מַּ֔יִם	המים
1	1	7	13	H834	HTr	אֲשֶׁ֖ר	אשר
1	1	7	14	H5921	HR/R	מֵ/עַ֣ל	מעל
1	1	7	15	H7549	HRd/Ncmsa	לָ/רָקִ֑יעַ	לרקיע
1	1	7	16	H1961	HC/Vqw3ms	וַֽ/יְהִי	ויהי
1	1	7	17	H3651	HD	כֵֽן	כן
1	1	8	1	H7121	HC/Vqw3ms	וַ/יִּקְרָ֧א	ויקרא
1	1	8	2	H430	HNcmpa	אֱלֹהִ֛ים	אלהים
1	1	8	3	H7549	HRd/Ncmsa	לָֽ/רָקִ֖יעַ	לרקיע
1	1	8	4	H8064	HNcmpa	שָׁמָ֑יִם	שמים
1	1	8	5	H1961	HC/Vqw3ms	וַֽ/יְהִי	ויהי
1	1	8	6	H6153	HNcmsa	עֶ֥רֶב	ערב
1	1	8	7	H1961	HC/Vqw3ms	וַֽ/יְהִי	ויהי
1	1	8	8	H1242	HNcmsa	בֹ֖קֶר	בקר
1	1	8	9	H3117	HNcmsa	י֥וֹם	יום
1	1	8	10	H8145	HAomsa	שֵׁנִֽי	שני
1	1	9	1	H559	HC/Vqw3ms	וַ/יֹּ֣אמֶר	ויאמר
1	1	9	2	H430	HNcmpa	אֱלֹהִ֗ים	אלהים
1	1	9	3	H6960	HVNj3mp	יִקָּו֨וּ	יקוו
1	1	9	4	H4325	HTd/Ncmpa	הַ/מַּ֜יִם	המים
1	1	9	5	H8478	HR/R	מִ/תַּ֤חַת	מתחת
1	1	9	6	H8064	HTd/Ncmpa	הַ/שָּׁמַ֨יִם֙	השמים
1	1	9	7	H413	HR	אֶל	אל
1	1	9	8	H4725	HNcmsa	מָק֣וֹם	מקום
1	1	9	9	H259	HAcmsa	אֶחָ֔ד	אחד
1	1	9	10	H7200	HC/VNi3fs	וְ/תֵרָאֶ֖ה	ותראה
1	1	9	11	H3004	HTd/Ncfsa	הַ/יַּבָּשָׁ֑ה	היבשה
1	1	9	12	H1961	HC/Vqw3ms	וַֽ/יְהִי	ויהי
1	1	9	13	H3651	HD	כֵֽן	כן
1	1	10	1	H7121	HC/Vqw3ms	וַ/יִּקְרָ֨א	ויקרא
1	1	10	2	H430	HNcmpa	אֱלֹהִ֤ים	אלהים
1	1	10	3	H3004	HRd/Ncfsa	לַ/יַּבָּשָׁה֙	ליבשה
1	1	10	4	H776	HNcbsa	אֶ֔רֶץ	ארץ
